station_id,station_name,latitude,longitude,data_start,data_end,country_id
43363,Pamban,9.2667,79.3,1901-01-01,2024-04-15,61
43347,Nagappattinam,10.7667,79.85,1901-01-01,2024-04-12,61
43344,Tiruchchirapalli,10.7667,78.7167,1901-01-01,2024-02-12,61
43333,Port Blair,11.6667,92.7167,1901-01-01,2024-02-13,61
43329,Cuddalore,11.7667,79.7667,1901-01-01,2024-01-28,61
43053,Puri,19.8,85.8167,1901-01-01,2024-04-08,61
43049,Gopalpur,19.2667,84.8833,1901-01-01,2024-04-09,61
43303,Vellore,12.9167,79.15,1901-01-01,2024-01-10,61
43029,Chandrapur,19.9667,79.3,1901-01-01,2024-04-14,61
42671,Sagar,23.85,78.75,1901-01-01,2024-04-15,61
42647,Ahmadabad,23.0667,72.6333,1901-01-01,2024-04-15,61
42619,Silchar,24.75,92.8,1901-01-01,2024-04-21,61
42724,Agartala,23.8833,91.25,1901-01-01,2024-04-20,61
42591,Gaya,24.75,84.95,1901-01-01,2024-04-15,61
42587,Daltonganj,24.05,84.0667,1901-01-01,2024-03-26,61
42754,Indore,22.7167,75.8,1901-01-01,2024-04-14,61
42571,Satna,24.5667,80.8333,1901-01-01,2024-04-21,61
42763,Hoshangabad,22.7667,77.7667,1901-01-01,2024-04-14,61
42503,Malda,25.0333,88.1333,1901-01-01,2024-04-15,61
42483,Varanasi,25.3,83.0167,1901-01-01,2024-04-10,61
ETED0,Kaiserslautern,49.4478,7.8394,1901-01-01,2024-04-21,53
42500,Purnea,25.2667,87.4667,1901-01-01,2024-03-23,61
42807,Calcutta / Alipore,22.5333,88.3333,1901-01-01,2024-04-12,61
42937,Amraoti,20.9333,77.7833,1901-01-01,2024-04-14,61
42933,Akola,20.7,77.0333,1901-01-01,2024-04-15,61
42895,Balasore,21.5167,86.9333,1901-01-01,2024-04-12,61
42883,Sambalpur,21.4667,83.9667,1901-01-01,2024-04-13,61
42675,Jabalpur,23.2,79.95,1901-01-01,2024-04-12,61
42463,Jhansi,25.45,78.5833,1901-01-01,2024-04-08,61
42838,Bhaunagar,21.75,72.2,1901-01-01,2024-03-04,61
42399,Jalpaiguri,26.5333,88.7167,1901-01-02,2024-04-19,61
43311,Amini Divi,11.1167,72.7333,1901-01-10,2024-01-30,61
42731,Dwarka,22.3667,69.0833,1901-01-13,2024-03-03,61
72514,Williamsport-Lycoming County,41.25,-76.9167,1901-01-30,2024-12-31,149
30965,Borzja,50.4,116.5167,1901-03-01,2024-04-20,119
42415,Tezpur,26.6167,92.7833,1901-07-01,2024-04-21,61
70178,Tanana Calhoun Memorial Airport,65.1667,-152.1,1901-08-24,2024-04-15,149
30309,Bratsk,56.2833,101.75,1901-09-01,2024-04-20,119
70026,Post Rogers Memorial Airport,71.2833,-156.7667,1901-09-01,2024-12-29,149
37163,Kizljar,43.8333,46.7167,1901-09-24,2024-04-11,119
36038,Zmeinogorsk,51.15,82.2,1901-10-01,2024-04-20,119
36177,Semipalatinsk,50.4167,80.3,1901-11-01,2024-04-21,71
10264,Marnitz,53.3167,11.933300000000001,1902-01-01,2024-04-21,53
71173,Golden Airport,51.3,-116.98,1902-04-01,2024-04-17,24
31915,Progranichnyj,44.4,131.3833,1902-04-01,2024-04-20,119
35078,Atbasar,51.8167,68.3667,1902-04-01,2024-04-21,71
42516,Shillong,25.5667,91.8833,1902-06-12,2024-04-14,61
28952,Kustanai,53.2167,63.6167,1902-08-01,2024-04-20,71
